"name","video","start","end","speaker","orth","translation","orth_english","translation_english"
"11August_2010_Wednesday_tagesschau-1","11August_2010_Wednesday_tagesschau-1/1/*.png","-1","-1","Signer08","__ON__ JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR __OFF__","und nun die wettervorhersage für morgen donnerstag den zwölften august .","__ON__ NOW WEATHER TOMORROW THURSDAY TWELVE FEBRUARY __OFF__","And now the weather forecast for tomorrow, Thursday the twelfth of August."
"11August_2010_Wednesday_tagesschau-4","11August_2010_Wednesday_tagesschau-4/1/*.png","-1","-1","Signer08","ORT-PLUSPLUS REGEN DURCH REGEN-PLUSPLUS KOENNEN UEBERSCHWEMMUNG UEBERSCHWEMMUNG KOENNEN __OFF__","mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich .","PLACE-PLUSPLUS RAIN THROUGH RAIN-PLUSPLUS CAN FLOOD FLOOD CAN __OFF__","In some places it will rain longer and heavily, and local flooding is again possible."
"11August_2010_Wednesday_tagesschau-5","11August_2010_Wednesday_tagesschau-5/1/*.png","-1","-1","Signer08","__ON__ loc-NORDWEST HEUTE NACHT TROCKEN BLEIBEN loc-SUEDWEST KOENNEN REGEN-PLUSPLUS ORT-PLUSPLUS GEWITTER DAZU","im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner .","__ON__ loc-NORTHWEST STAY DRY TONIGHT loc-SOUTHWEST POSSIBLE RAIN-PLUSPLUS LOCAL-PLUSPLUS THUNDERSTORMS ALSO","In the northwest it will remain mostly dry tonight, otherwise heavy showers are to be expected, with thunder and lightning in some places."
"11August_2010_Wednesday_tagesschau-6","11August_2010_Wednesday_tagesschau-6/1/*.png","-1","-1","Signer08","TAGSUEBER OFT REGEN-PLUSPLUS GEWITTER GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN REGEN __OFF__","auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen .","DURING THE DAY OFTEN RAIN-PLUSPLUS THUNDERSTORMS THUNDERSTORMS CAN SOMETIMES RAIN A LOT OF RAIN RAIN __OFF__","During the day there will also be widespread showers or thunderstorms, and in some regions heavy rainfall will occur."
"11August_2010_Wednesday_tagesschau-7","11August_2010_Wednesday_tagesschau-7/1/*.png","-1","-1","Signer08","__ON__ WOLKE LOCH LOCH SPEZIELL loc-NORDWEST __OFF__","größere wolkenlücken finden sich vor allem im nordwesten .","__ON__ CLOUD HOLE HOLE SPECIAL loc-NORTHWEST __OFF__","Larger gaps in the clouds can be found mainly in the northwest."
"11August_2010_Wednesday_tagesschau-9","11August_2010_Wednesday_tagesschau-9/1/*.png","-1","-1","Signer08","FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD","im emsland heute nacht nur neun am oberrhein bis siebzehn grad .","RIVER TONIGHT SIX RIVER SEVENTEEN DEGREES","In Emsland tonight only nine, on the Upper Rhine up to seventeen degrees."
"11August_2010_Wednesday_tagesschau-10","11August_2010_Wednesday_tagesschau-10/1/*.png","-1","-1","Signer08","MORGEN TEMPERATUR GLEICH-WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L IX SIEBEN ZWANZIG GRAD __OFF__","morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad .","TOMORROW TEMPERATURE SAME AS TODAY NINETEEN TO TWENTY-FIVE L IX TWENTY-SEVEN DEGREES __OFF__","Tomorrow temperatures similar to today, nineteen to twenty-five degrees Celsius in Lusatia, up to twenty-seven degrees Celsius."
"11August_2010_Wednesday_tagesschau-11","11August_2010_Wednesday_tagesschau-11/1/*.png","-1","-1","Signer08","__ON__ FREITAG loc-OST KOENNEN REGEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN","am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr .","__ON__ FRIDAY loc-EAST MAY RAIN RAIN HEAVY RAIN CAUTION FLOODING MAY","On Friday, there may be prolonged and heavy rain in some parts of the eastern half. Caution: risk of flooding."
"11August_2010_Wednesday_tagesschau-12","11August_2010_Wednesday_tagesschau-12/1/*.png","-1","-1","Signer08","loc-REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE __PU__ __OFF__","sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten .","loc-REGION VARIABLE RAIN THUNDERSTORMS ALSO WEEKEND __PU__ __OFF__","Otherwise changeable with showers and thunderstorms which will also accompany us over the weekend."
"11August_2010_Wednesday_tagesschau-13","11August_2010_Wednesday_tagesschau-13/1/*.png","-1","-1","Signer08","__ON__ TEMPERATUR BLEIBEN GLEICH __OFF__","am temperaturniveau ändert sich wenig .","__ON__ TEMPERATURE STAY THE SAME __OFF__","There is little change in the temperature level."
