"name","video","start","end","speaker","orth","translation","orth_english","translation_english"
"11August_2010_Wednesday_tagesschau-1","11August_2010_Wednesday_tagesschau-1/1/*.png","-1","-1","Signer08","JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR","und nun die wettervorhersage für morgen donnerstag den zwölften august","NOW WEATHER TOMORROW THURSDAY TWELVE FEBRUARY","and now the weather forecast for tomorrow, Thursday the twelfth of August"
"11August_2010_Wednesday_tagesschau-4","11August_2010_Wednesday_tagesschau-4/1/*.png","-1","-1","Signer08","ORT REGEN DURCH REGEN KOENNEN UEBERSCHWEMMUNG KOENNEN","mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich","LOCATION RAIN DUE TO RAIN CAN FLOODING CAN","In some places it will rain longer and heavily, and local flooding is possible again"
"11August_2010_Wednesday_tagesschau-5","11August_2010_Wednesday_tagesschau-5/1/*.png","-1","-1","Signer08","NORDWEST HEUTE NACHT TROCKEN BLEIBEN SUEDWEST KOENNEN REGEN ORT GEWITTER DAZU","im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner","NORTHWEST STAY DRY TONIGHT SOUTHWEST POSSIBLE RAIN SPOTS OF THUNDERSTORMS","In the northwest it will remain mostly dry tonight, otherwise heavy showers are expected, with lightning and thunder in some places"
"11August_2010_Wednesday_tagesschau-6","11August_2010_Wednesday_tagesschau-6/1/*.png","-1","-1","Signer08","TAGSUEBER OFT REGEN GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN","auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen","DURING THE DAY OFTEN RAIN THUNDERSTORMS CAN SOMETIMES RAIN A LOT OF RAIN","During the day there will also be widespread heavy showers or thunderstorms and in some regions heavy rainfall will fall"
"11August_2010_Wednesday_tagesschau-7","11August_2010_Wednesday_tagesschau-7/1/*.png","-1","-1","Signer08","WOLKE LOCH SPEZIELL NORDWEST","größere wolkenlücken finden sich vor allem im nordwesten","CLOUD HOLE SPECIAL NORTHWEST","Larger gaps in the clouds are found mainly in the northwest"
"11August_2010_Wednesday_tagesschau-9","11August_2010_Wednesday_tagesschau-9/1/*.png","-1","-1","Signer08","FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD","im emsland heute nacht nur neun am oberrhein bis siebzehn grad","RIVER TONIGHT SIX RIVER SEVENTEEN DEGREES","in the Emsland tonight only nine on the Upper Rhine up to seventeen degrees"
"11August_2010_Wednesday_tagesschau-10","11August_2010_Wednesday_tagesschau-10/1/*.png","-1","-1","Signer08","MORGEN TEMPERATUR GLEICH-WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L IX SIEBEN ZWANZIG GRAD","morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad","TOMORROW TEMPERATURE SAME AS TODAY NINETEEN TO TWENTY-FIVE L IX TWENTY-SEVEN DEGREES","Tomorrow similar temperatures as today nineteen to twenty-five in Lusatia up to twenty-seven degrees"
"11August_2010_Wednesday_tagesschau-11","11August_2010_Wednesday_tagesschau-11/1/*.png","-1","-1","Signer08","FREITAG OST KOENNEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN","am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr","FRIDAY EAST RAIN POSSIBLE HEAVY RAIN CAUTION FLOODING POSSIBLE","On Friday, there may be prolonged and heavy rain in the eastern half. Caution: risk of flooding"
"11August_2010_Wednesday_tagesschau-12","11August_2010_Wednesday_tagesschau-12/1/*.png","-1","-1","Signer08","REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE","sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten","REGION VARIABLE RAIN THUNDERSTORMS ALSO WEEKEND","otherwise changeable with showers and thunderstorms which will also accompany us on the weekend"
"11August_2010_Wednesday_tagesschau-13","11August_2010_Wednesday_tagesschau-13/1/*.png","-1","-1","Signer08","TEMPERATUR BLEIBEN GLEICH","am temperaturniveau ändert sich wenig","TEMPERATURE REMAINS THE SAME","the temperature level changes little"
